model,seq_len,time_ms,peak_mem_mb,throughput
hyena,256,21.852949399954014,466.697265625,93717.32677897975
hyena,512,42.378156999939165,862.33203125,96653.56612855721
hyena,1024,84.07196735006437,1651.3984375,97440.32711747561
hyena,2048,167.81811040004868,3231.9375,97629.510670472
