model,seq_len,time_ms,peak_mem_mb,throughput
transformer,256,12.328306449853699,268.98828125,83060.88140858569
transformer,512,22.790039599976808,468.314453125,89863.81928015975
transformer,1024,52.2897723999904,866.201171875,78332.71808237498
transformer,2048,131.42210185001204,1669.646484375,62333.50315268336
transformer,4096,383.9099902499129,3297.318359375,42676.67009481715
