model,seq_len,time_ms,peak_mem_mb,throughput
hyena,256,33.28873119990021,0.0,61522.32080284692
hyena,512,65.5695958997967,0.0,62467.97686933282
hyena,1024,131.70208939991426,0.0,62200.98737480875
hyena,2048,276.2076644501576,0.0,59317.68777168215
