model,seq_len,time_ms,peak_mem_mb,throughput
transformer,256,21.405934499921386,466.3125,95674.4028160752
transformer,512,43.70938290003323,862.697265625,93709.85651680033
transformer,1024,100.13691269998617,1654.763671875,81807.9944659721
